,symbol,sm_name,desc,an_dt,t_date,open,adj_close,intraday_return
2848,TOTAL,Total Transport Systems Limited,Record Date,2021-11-11 17:25:14,2021-11-12 17:25:14,53.1,51.41,-3.1826741996233614
2849,PFC,Power Finance Corporation Limited,Record Date,2021-11-11 16:25:05,2021-11-12 16:25:05,112.4,87.28,-22.34875444839858
2850,HAL,Hindustan Aeronautics Limited,Record Date,2021-11-11 15:50:46,2021-11-12 15:50:46,707.5,637.8,-9.851590106007073
2851,RITES,RITES Limited,Record Date,2021-11-11 15:47:19,2021-11-12 15:47:19,292.0,258.41,-11.503424657534238
2855,GLS,Glenmark Life Sciences Limited,Record Date,2021-11-10 19:36:27,2021-11-11 19:36:27,654.75,573.02,-12.482626956853764
2856,MANGTIMBER,Mangalam Timber Products Limited,Record Date,2021-11-10 18:18:08,2021-11-11 18:18:08,0.0,0.0,0.0
2857,JAMNAAUTO,Jamna Auto Industries Limited,Record Date,2021-11-10 16:14:00,2021-11-11 16:14:00,110.0,101.1,-8.090909090909095
2858,OIL,Oil India Limited,Record Date,2021-11-10 15:42:25,2021-11-11 15:42:25,219.4,184.04,-16.11668185961714
2861,PETRONET,Petronet LNG Limited,Record Date,2021-11-09 18:29:49,2021-11-10 18:29:49,235.75,205.66,-12.76352067868505
2862,PAR,Par Drugs and Chemicals Limited,Record Date,2021-11-09 17:53:26,2021-11-10 17:53:26,136.1,135.19,-0.6686260102865516
2863,QUESS,Quess Corp Limited,Record Date,2021-11-09 17:35:31,2021-11-10 17:35:31,880.0,869.87,-1.1511363636363632
2864,ESTER,Ester Industries Limited,Record Date,2021-11-09 17:18:09,2021-11-10 17:18:09,145.2,143.53,-1.1501377410468234
2870,AUROPHARMA,Aurobindo Pharma Limited,Record Date,2021-11-08 19:48:57,2021-11-09 19:48:57,686.0,662.12,-3.481049562682215
2871,EIDPARRY,EID Parry India Limited,Record Date,2021-11-08 19:18:52,2021-11-09 19:18:52,470.0,478.95,1.9042553191489338
2872,SHYAMMETL,Shyam Metalics and Energy Limited,Record Date,2021-11-08 16:30:40,2021-11-09 16:30:40,365.0,338.07,-7.378082191780824
2873,PITTIENG,Pitti Engineering Limited,Record Date,2021-11-08 15:50:28,2021-11-09 15:50:28,197.75,190.6,-3.6156763590391936
2876,ANURAS,Anupam Rasayan India Limited,Record Date,2021-11-03 19:14:54,2021-11-04 19:14:54,805.95,800.86,-0.6315528258576873
2877,STEELCITY,Steel City Securities Limited,Record Date,2021-11-03 19:09:29,2021-11-04 19:09:29,60.0,53.67,-10.549999999999995
2882,TATASTLBSL,Tata Steel Bsl Limited,Record Date,2021-11-02 21:55:43,2021-11-03 21:55:43,0.0,0.0,0.0
2883,CRISIL,CRISIL Limited,Record Date,2021-11-02 19:33:50,2021-11-03 19:33:50,2829.5,2746.99,-2.9160629086411105
2884,JETFREIGHT,Jet Freight Logistics Limited,Record Date,2021-11-02 17:23:01,2021-11-03 17:23:01,21.02,20.99,-0.1427212178877314
